review_id,stars,review_text
1,5,"The food was amazing and the staff made us feel welcome from the moment we walked in."
2,1,"The service was painfully slow and my order arrived cold."
3,5,"Best dinner I have had in months, fresh ingredients and friendly servers."
4,2,"The place looked nice but the food was bland and overpriced."
5,4,"Great coffee, clean tables, and a comfortable place to work."
6,1,"I waited forty minutes and nobody apologized for the delay."
7,5,"The tacos were flavorful and the cashier was very kind."
8,2,"My meal was missing items and the staff seemed annoyed when I asked for help."
9,4,"Good value for the price and the portions were generous."
10,1,"The restaurant was dirty and the bathroom needed attention."
11,5,"Excellent service, quick seating, and delicious dessert."
12,2,"The burger was dry and the fries tasted old."
13,4,"I enjoyed the atmosphere and would come back with friends."
14,1,"They charged me twice and did not resolve the problem."
15,5,"The staff remembered my order and made the experience personal."
16,2,"The wait time was too long for food that was just okay."
17,4,"Fresh salad, fast checkout, and reasonable prices."
18,1,"This was the worst takeout experience I have had this year."
19,5,"The pizza was hot, crispy, and exactly what I ordered."
20,2,"The soup was lukewarm and tasted like it had been sitting all day."
21,4,"Friendly employees and the online ordering process was simple."
22,1,"No one greeted us and the server forgot our drinks."
23,5,"The restaurant was spotless and the manager checked on every table."
24,2,"The menu sounded exciting but the food lacked flavor."
25,4,"Fast delivery and everything was packaged carefully."
26,1,"The chicken was undercooked and I will not return."
27,5,"Wonderful brunch with fresh pastries and excellent coffee."
28,2,"The staff mixed up our reservation and acted like it was our fault."
29,4,"The noodles were tasty and the service was efficient."
30,1,"I found hair in my food and the response was careless."
31,5,"The seafood tasted fresh and the view made the meal even better."
32,2,"The music was too loud and the server rarely checked on us."
33,4,"A reliable lunch spot with quick service and consistent quality."
34,1,"My order was cancelled without explanation after an hour."
35,5,"The waiter gave helpful recommendations and every dish was excellent."
36,2,"The place was crowded, slow, and not worth the price."
37,4,"The smoothie was fresh and the employee was cheerful."
38,1,"The food arrived late, cold, and missing sauce."
39,5,"I loved the welcoming atmosphere and the meal tasted homemade."
40,2,"The checkout process was confusing and the staff did not help."
